Rendering took 37.912845611572266 milliseconds
Player position: [6.591963555234396, 7.029023822926287] 8.899999999999984
(3.759999999999984, (0.0028069912609343106, 0.7089522771526617))
(3.7699999999999836, (0.007107608115960673, 0.7197278100629312))
(3.7699999999999836, (0.003491956471972202, 0.7243782421955771))
(3.7799999999999834, (0.0077492689921641045, 0.735179482260186))
(3.7799999999999834, (0.004109473336914249, 0.7398308981256427))
(3.7799999999999834, (0.000462414290442581, 0.7444766211347051))
(3.789999999999983, (0.004659381914983385, 0.7553099737949545))
(3.789999999999983, (0.0009881361513421894, 0.7599565371404688))
(3.799999999999983, (0.005141523302128803, 0.7708151973172424))
(3.799999999999983, (0.0014460500480417693, 0.7754624950810962))
(3.8099999999999827, (0.005555739634122148, 0.7863462960716641))
(3.8099999999999827, (0.0018359985424751812, 0.7909942220894113))
(3.8199999999999825, (0.005901874089559556, 0.8019029967066738))
(3.8199999999999825, (0.0021578252405287657, 0.806551444569183))
(3.8299999999999823, (0.006179770892890346, 0.8174850251438901))
(3.8299999999999823, (0.0024113747951037823, 0.8221338881989517))
(3.839999999999982, (0.006389275317449261, 0.8330921065819332))
(3.839999999999982, (0.0025964929090953603, 0.8377412779359155))
(3.849999999999982, (0.006530233688415876, 0.8487239655003425))
(3.849999999999982, (0.0027130263383732256, 0.8533733380198356))
(3.8599999999999817, (0.006602493385829078, 0.8643803256634399))
(3.8599999999999817, (0.002760822894781967, 0.8690297919768941))
(3.8699999999999815, (0.0066059028475429216, 0.8800609101242429))
(3.8699999999999815, (0.0027397314490791302, 0.8847103626236494))
(3.8799999999999812, (0.006540311572162949, 0.8957654412283986))
(3.8799999999999812, (0.002649601933899959, 0.9004147720709135))
(3.889999999999981, (0.006405570122018034, 0.9114936406180805))
(3.889999999999981, (0.002490285346688381, 0.9161427417277057))
(3.899999999999981, (0.006201530126050514, 0.9272452292359592))
(3.899999999999981, (0.00226163375259425, 0.931893992305211))
(3.9099999999999806, (0.005928044282759615, 0.9430199273291224))
(3.9099999999999806, (0.0019635002874096585, 0.9476682438206936))
(3.9199999999999804, (0.005584966363075594, 0.9588174544530528))
(3.9199999999999804, (0.0015957391604306537, 0.9634652156015111))
